algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
BLoCNet,6.406,130.610,0.971,0.971,0.971,0.971,0.971,0.964,0.944,0.964,0.029,0.029,0.044,0.080,0.283,0.971,95.968
constructive_learning,0.024,1.680,0.991,0.991,0.991,0.991,0.991,0.988,0.982,0.988,0.009,0.009,0.016,0.031,0.175,0.991,98.451
AIS,1.029,30.944,0.996,0.996,0.996,0.996,0.996,0.995,0.992,0.995,0.004,0.004,0.007,0.013,0.114,0.996,99.350
GBBK,0.096,0.133,0.612,0.614,0.612,0.543,0.548,0.564,0.424,0.517,0.388,0.388,0.479,0.704,0.839,0.622,66.199
GE SVM,38.857,69.186,0.951,0.952,0.951,0.951,0.952,0.940,0.908,0.939,0.049,0.049,0.079,0.151,0.388,0.951,92.407
Hidden Naive Bayes (HNB),0.078,0.150,0.612,0.614,0.612,0.543,0.548,0.564,0.424,0.517,0.388,0.388,0.479,0.704,0.839,0.622,66.199
HistGradientBoostingClassifier,0.619,32.483,0.996,0.996,0.996,0.996,0.996,0.996,0.993,0.996,0.004,0.004,0.006,0.012,0.110,0.997,99.392
IGRF-RFE with k-fold Cross-Validation,0.043,1.214,0.990,0.990,0.990,0.990,0.990,0.988,0.981,0.988,0.010,0.010,0.016,0.031,0.177,0.991,98.430
ICA,0.801,94.244,0.991,0.991,0.991,0.991,0.991,0.989,0.982,0.989,0.009,0.009,0.013,0.024,0.154,0.991,98.804
Lasso Regression,0.016,353.495,0.905,0.906,0.905,0.905,0.906,0.881,0.829,0.881,0.095,0.095,0.144,0.261,0.511,0.905,86.867
Meta (KNN),38.855,0.667,0.988,0.988,0.988,0.988,0.988,0.985,0.977,0.985,0.012,0.012,0.019,0.036,0.190,0.988,98.179
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.898,952.174,0.614,0.624,0.614,0.611,0.617,0.520,0.441,0.516,0.386,0.386,0.644,1.296,1.138,0.611,39.489
Projected Gradient Descent (PGD),0.075,85.673,0.971,0.971,0.971,0.971,0.971,0.964,0.944,0.964,0.029,0.029,0.046,0.084,0.289,0.971,95.791
PCA,0.018,4.052,0.984,0.984,0.984,0.984,0.984,0.980,0.968,0.980,0.016,0.016,0.027,0.052,0.227,0.984,97.405
RBF,34.341,58.545,0.952,0.952,0.952,0.952,0.952,0.940,0.909,0.940,0.048,0.048,0.079,0.151,0.388,0.952,92.416
Stacked Convolutional Neural Networks with k-fold Cross-Validation,6.514,224.132,0.974,0.974,0.974,0.974,0.974,0.968,0.950,0.968,0.026,0.026,0.038,0.066,0.258,0.975,96.661
Simulated Annealing (SA),0.000,147.242,0.445,0.522,0.445,0.337,0.368,0.361,0.225,0.302,0.555,0.555,1.179,2.668,1.633,0.438,-23.502
SVM with Optimization and k-fold Cross-Validation,10.454,96.761,0.935,0.935,0.935,0.935,0.935,0.919,0.880,0.919,0.065,0.065,0.104,0.196,0.443,0.936,90.128
Stacking Classifier,4.661,166.194,0.995,0.995,0.995,0.995,0.995,0.993,0.989,0.993,0.005,0.005,0.009,0.016,0.127,0.995,99.192
Stacking Dilated Convolutional Autoencoders,0.035,8.876,0.991,0.991,0.991,0.991,0.991,0.989,0.983,0.989,0.009,0.009,0.015,0.030,0.172,0.992,98.504
Temporal Deep Feedforward Neural Network,4.180,147.009,0.957,0.957,0.957,0.957,0.957,0.946,0.918,0.946,0.043,0.043,0.066,0.117,0.342,0.957,94.109
Voting Classifier,0.497,3.179,0.991,0.991,0.991,0.991,0.991,0.989,0.983,0.989,0.009,0.009,0.015,0.029,0.171,0.991,98.532
GBT,0.537,386.233,0.991,0.991,0.991,0.991,0.991,0.989,0.982,0.989,0.009,0.009,0.017,0.034,0.184,0.991,98.295
CART,0.020,2553.204,0.213,0.206,0.213,0.075,0.055,0.010,0.046,0.000,0.787,0.787,1.357,2.874,1.695,0.200,-0.014
